id;naissanceDate;naissanceLieu;profession;classe;matricule;engageVolontaire;engageAnnee;uniteAffectation;decesLieu;decesDepartement;decesAge;residenceCanton;residenceCommune;residenceAdresse;grade;lieuSepulture;matriculeArme
20;21/09/1881;Roche-sur-Yon, La;employé aux chemins de fer;1901;3529;non;;6 Régiment du génie;Sainte-Menehould;Marne;35;Nantes;Nantes;;Sapeur-Mineur;;1
21;;;médecin;;;;;9 Régiment de zouaves;Sedd-ul-Bahr;Turquie;40;Croisic, Le;Croisic, Le;;Major;;0
22;15/12/1879;Nantes;riveur;1899;219;non;;29 Régiment d'artillerie;Nantes;Loire Inférieure;35;Nantes;Nantes;;Soldat;Cimetière de la Miséricorde - Nantes;1
23;10/09/1889;Cherbourg;dessinateur;1909;2962;non;;18 Bataillon de chasseurs;Saint-Mandrier;Var;27;Nantes;Nantes;;Caporal;;1
24;19/09/1895;Nantes;comptable;1915;1;non;;43 Bataillon de tirailleurs sénégalais;Ville-Montoise;Aisne;23;Nantes;Nantes;;Sergent;Cimetière de la Miséricorde - Nantes;1
25;24/10/1892;Freigné;cultivateur;1912;96;non;;64 Régiment d'infanterie;Auchonvillers;Somme;21;Saint-Mars-la-Jaille;Saint-Mars-la-Jaille;;Soldat;Nécropole Nationale Serre Hebuterne - Beaumont Hamel;1
26;28/06/1891;Nort-sur-Erdre;tanneur;1911;1644;oui;1915;402 Régiment d'infanterie;Tauberlischofein;Allemagne;26;Vertou;Vertou;;Soldat;Nécropole Nationale Prisonniers de Guerre 1914-1918 Sarrebourg;1
27;19/02/1893;Fégréac;serrurier;;;;;70 Régiment d'infanterie;Moronvilliers;Marne;24;Nort-sur-Erdre;Nort-sur-Erdre;;Soldat;;1
28;16/09/1886;Nort-sur-Erdre;cultivateur;1906;598;non;;65 Régiment d'infanterie;Amiens;Somme;28;Nort-sur-Erdre;Nort-sur-Erdre;;Soldat;Nécropole Nationale Saint Pierre - Amiens;1
29;14/01/1893;Nort-sur-Erdre;cultivateur;1913;906;non;;2 Régiment d'infanterie coloniale;Rossignol;Belgique;21;Nort-sur-Erdre;Nort-sur-Erdre;;Soldat;;1
30;31/07/1889;Noyal-sur-Brutz;cultivateur;1909;979;non;;93 Régiment d'infanterie;Sézanne;Marne;25;Rougé;Noyal-sur-Brutz;;Soldat;;1
31;11/11/1891;Louvigné;tailleur de pierre;1911;186;non;;106 Régiment d'infanterie;Noye;Somme;26;Nantes;Nantes;;Caporal;Nécropole Nationale de Beuvraignes;1
32;08/08/1892;Montoir-de-Bretagne;mécanicien;1912;1929;oui;1913;8 Régiment de hussards;Barastre;Pas-de-Calais;22;Saint-Nazaire;Montoir-de-Bretagne;;Hussard;;1
33;22/01/1882;Moisdon-la-Rivière;cultivateur;1902;475;non;;84 Régiment d'artillerie lourde;Moisdon-la-Rivière;Loire Inférieure;37;Moisdon-la-Rivière;Moisdon-la-Rivière;;Soldat;;1
34;09/06/1883;Belligné;cultivateur;1903;50;non;;109 Régiment d'infanterie;Touvent;Pas-de-Calais;31;Varades;Belligné;;Soldat;;1
35;25/03/1878;Belligné;cultivateur;1898;78;non;;82 Régiment d'infanterie territoriale;Choisy-au-Bac (Francport);Oise;37;Varades;Belligné;;Soldat;Nécropole Nationale Royallieu - Compiegne;1
36;04/11/1885;Saint-Aubin-des-Châteaux;domestique - cultivateur;1905;735;non;;155 Régiment d'infanterie;Tours;Indre-et-Loire;29;Châteaubriant;Saint-Aubin-des-Châteaux;;Soldat;Carré Militaire Saint Symphorien - Tours;1
37;11/10/1885;Saint-Nazaire;charpentier de navire;1905;3254;;;6 Régiment du génie;Rancourt;Somme;31;Saint-Nazaire;Saint-Nazaire;L'Immaculée;Caporal;;1
38;19/12/1885;Saint-Lyphard;maçon;1905;2832;non;;70 Régiment d'infanterie;Prosnes;Marne;31;Herbignac;Saint-Lyphard;;Soldat;;1
39;13/11/1883;Herbignac;cultivateur;1903;2082;non;;44 Régiment d'infanterie coloniale;Amiens ;Somme;32;Herbignac;Herbignac;;Soldat;Nécropole Nationale Saint Acheul - Amiens;1
40;13/03/1878;Bourgneuf-en-Retz;menuisier;1898;1840;non;;265 Régiment d'infanterie;Denicourt;Somme;38;Bourgneuf-en-Retz;Bourgneuf-en-Retz;;Adjudant;Nécropole Nationale Dompierre Becquincourt;1
41;08/11/1881;Pellerin, Le;cultivateur;1901;604;non;;65 Régiment d'infanterie;Bezonvaux - Combats de Verdun;Meuse;38;Pellerin, Le;Pellerin, Le;;Soldat;;1
42;17/09/1881;Herbignac;cultivateur;1901;2484;non;;65 Régiment d'infanterie;Fricourt;Somme;33;Herbignac;Herbignac;;Soldat;Nécropole Nationale Villers - Carbonnel;1
43;23/09/1894;Bouvron;cultivateur;1914;3060;non;;135 Régiment d'infanterie;Ville-sur-Cousances;Meuse;21;Blain;Bouvron;;Soldat;;1
44;18/04/1880;Herbignac;cultivateur;1900;3457;non;;2 Régiment d'infanterie coloniale;Servon;Marne;35;Herbignac;Herbignac;;Soldat;Nécropole Nationale Saint Thomas en Argonne;1
45;;;manœoeuvre;;;;;137 Régiment d'infanterie;Hébuterne;;26;Saint-Nazaire;Saint-Nazaire;;Soldat;;0
46;25/11/1891;Rezé;typographe;1911;740;non;;155 Régiment d'infanterie;Rennes;Ille-et-Vilaine;24;Bouaye;Rezé;Trentemoult;Caporal;Cimetière Saint-Pierre de Rezé;1
47;07/04/1887;Rezé;marin;1907;535;non;;1 Régiment d'infanterie coloniale;Vaux;Meuse;29;Bouaye;Rezé;Trentemoult;Soldat;Cimetière Saint-Pierre de Rezé;1
48;19/08/1878;Saint-Etienne-de-Montluc;maréchal ferrant;1898;2760;oui;1896;3 Régiment de dragons;Saint-Etienne-de-Montluc;Loire Inférieure;40;Saint-Etienne-de-Montluc;Saint-Etienne-de-Montluc;;Dragon ;;1
49;16/01/1895;Quilly;cultivateur;1915;1897;non;;7 Régiment d'infanterie coloniale;A bord du Transport Hôpital Canada;Grèce;20;Savenay;Quilly;;Soldat;;1
50;26/10/1876;Guenrouët;cultivateur;1896;2579;non;;81 Régiment d'infanterie territoriale;Nantes ;Loire Inférieure;38;Saint-Nazaire;Saint-Nazaire;;Soldat;;1
51;17/09/1879;Guenrouët;cultivateur;1899;2373;non;;91 Régiment d'infanterie;Verdun ;Meuse;35;Saint-Gildas-des-Bois;Guenrouët;;Soldat;Nécropole Nationale Faubourg Pavé - Verdun;1
52;04/10/1891;Guenrouët;cultivateur;1911;3400;non;;106 Régiment d'infanterie;Rembercourt-aux-Pots;Meuse;22;Saint-Gildas-des-Bois;Guenrouët;;Soldat;Nécropole Nationale Rembercourt aux Pots - Rembercourt Sommaisne;1
53;30/09/1881;Sourdun;comptable;;;;;28 Bataillon de chasseurs à pied;Bouchavesnes;Somme;34;Saint-Nazaire;Saint-Nazaire;;Sergent;;0
54;18/03/1882;Nozay;carrier;1902;949;non;;29 Bataillon de chasseurs à pied;Boisselle, La;Somme;32;Nozay;Nozay;;Soldat;;1
55;18/03/1888;Bouguenais;comptable;1908;1189;non;;93 Régiment d'infanterie;Ville-sur-Tourbe;Marne;27;Bouaye;Bouguenais;;Caporal;;1
56;22/06/1884;Bouguenais;sommelier;1904;3013;non;;65 Régiment d'infanterie;Cognac ;Charente-Maritime;33;Bouaye;Bouguenais;;Caporal;;1
57;31/03/1876;Bouguenais;cultivateur;1896;224;non;;3 Régiment de dragons;Saint Nazaire;Loire Inférieure;39;Bouaye;Bouguenais;;Chasseur;;1
58;13/03/1869;Chevrolière, La;domestique;1889;1552;non;;82 Régiment d'infanterie territoriale;Nantes;Loire Inférieure;47;Clisson;Saint-Lumine-de-Clisson;;Sergent;Cimetière Saint Martin - Nantes;1
59;13/01/1887;Rougé;cultivateur;1907;533;non;;264 Régiment d'infanterie;Estrées;Somme;30;Rougé;Rougé;;Soldat;Nécropole Nationale Dompierre Becquincourt;1
60;25/07/1895;Saint-Philbert-de-Grand-Lieu;cultivateur;1915;827;;;52 Régiment d'infanterie coloniale;Souain;Marne;25;Saint-Philbert-de-Grand-Lieu;Saint-Philbert-de-Grand-Lieu;;Soldat;;1
61;26/11/1897;Saint-Viaud;cultivateur;1917;752;non;;77 Régiment d'infanterie;Corbeny;Aisne;19;Saint-Père-en-Retz;Saint-Viaud;;Soldat;;1
62;05/03/1883;Bouguenais;vigneron;1903;1468;non;;65 Régiment d'infanterie;Mesnil-les-Hurlus;Marne;32;Bouaye;Bouguenais;;Soldat;Nécropole Nationale La Crouée - Souain Perthes les Hurlus;1
63;19/01/1892;Bouguenais;cheminot;1912;3341;non;;51 Régiment d'artillerie;Orléans ;Loiret;22;Bouaye;Bouguenais;;Soldat;Carré Militaire Orléans (SF);1
64;01/09/1895;Escoublac;marchand de vins;1915;922;non;;23 Régiment d'infanterie coloniale;Veuve, La;Marne;22;Bouaye;Bouguenais;;Soldat;Nécropole Nationale Sept-Saulx;1
65;28/04/1889;Cellier, Le;maçon;1909;74;non;;64 Régiment d'infanterie;Bulson;Ardennes;24;Ligné;Cellier, Le;;Soldat;;1
66;05/05/1890;Nantes-Chantenay;paveur;1910;943;non;;161 Régiment d'infanterie;Bois-de-la-Gruerie;Marne;25;Nantes;Nantes;;Soldat;Nécropole Nationale de St Thomas en Argonne;1
67;20/05/1878;Trans-sur-Erdre;maréchal ferrant;1898;1208;non;;Compagnie des Chemins de Fer d'Orléans;Nantes;Loire Inférieure;40;Bouaye;Rezé;;Soldat;Cimetière Carquefou;1
68;06/04/1897;Nantes;employé de banque;1917;2445;non;;65 Régiment d'infanterie;Nantes;Loire Inférieure;26;Nantes;Nantes;;Soldat;Carré Militaire Nantes - La Bouteillerie;1
69;;;;;;;;138 Régiment d'infanterie;Longeville;Doubs;;Nantes;Nantes;;;;0
70;23/05/1879;Liré;laboureur;;;;;290 Régiment d'infanterie;La-Côte-304;Meuse;36;Varades;Varades;La Lotterie;Caporal;;0
71;24/07/1890;Saint-Herblon;domestique;;;;;135 Régiment d'infanterie;Zillebeke;Belgique;24;Ancenis;Saint-Herblon;;Sergent;;0
72;04/12/1894;Rougé;cultivateur;1914;757;non;;135 Régiment d'infanterie;Sizerne;Belgique;20;Rougé;Rougé;;Soldat;;1
73;28/05/1892;Rougé;cultivateur;1912;469;non;;64 Régiment d'infanterie;Serre;Pas-de-Calais;23;Rougé;Rougé;;Soldat;;1
74;11/08/1882;Vritz;cultivateur;;;;;135 Régiment d'infanterie;Fréménil;Meurthe-et-Moselle;32;Saint-Mars-la-Jaille;Vritz;;Soldat;;0
75;;;cultivateur;;;;;120 Régiment d'infanterie;Mesnil-les-Hurlus;Marne;28;Saint-Mars-la-Jaille;Vritz;;Soldat;;0
76;26/11/1897;Vritz;cultivateur;1917;252;non;;93 Régiment d'infanterie;Sainte-Marie-à-Py;Marne;20;Saint-Mars-la-Jaille;Vritz;;Soldat;;1
77;23/08/1885;Xanton Chassenom;;;;;;137 Régiment d'infanterie;Tahure;Marne;30;Nantes;Nantes;;Sergent;;0
78;16/12/1890;Angers;cultivateur;1910;119;non;;64 Régiment d'infanterie;Fère-Champenoise, La;Marne;23;Varades;Montrelais;;Soldat;;1
79;03/11/1881;Saint-Colombin;cultivateur;1901;525;non;;151 Régiment d'infanterie;Auberive-sur-Suippes;Marne;33;Saint-Philbert-de-Grand-Lieu;Saint-Colomban;;Soldat;Cimetière de Mourmelon-le-Grand;1
80;25/11/1894;Legé;plombier;1914;1;oui;1913;4 Régiment de marche de zouaves;Guéret;Creuse;20;Nantes;Nantes;;Caporal;Carré Militaire de Guéret;1
81;08/10/1882;Rocheservière;maçon;1902;1458;;;6 Régiment du génie;Villers-Cotterêts;Aisne;32;Nantes;Nantes;;Sapeur-Mineur;Nécropole Nationale Villers-Cotterets;0
82;05/06/1890;Saint-Etienne-de-Corcoué;maçon;1910;1318;non;;6 Régiment du génie;Angicourt;Oise;27;Legé;Corcoué-sur-Logne;Casserole;Sergent;;1
83;03/09/1885;Saint-Colombin;cultivateur;1905;491;non;;116 Régiment d'artillerie lourde;Saint-Colombin;Loire Inférieure;36;Saint-Philbert-de-Grand-Lieu;Saint-Colomban;;Canonnier Conducteur;;1
84;01/04/1898;Saint-Philbert-de-Bouaine;cultivateur;1918;807;non;;102 Régiment d'infanterie;Arnes;Ardennes;20;Legé;Corcoué-sur-Logne;;Soldat;Nécropole Nationale Sommepy Tahure;1
85;08/06/1887;Saint-Etienne-de-Corcoué;maçon;1907;772;non;;6 Régiment du génie;Clairfage;Somme;28;Legé;Corcoué-sur-Logne;Casserole;Sapeur Conducteur;Nécropole Nationale Catenoy;1
86;05/08/1893;Saint-Etienne-de-Corcoué;domestique - cultivateur;1913;1142;non;;2 Régiment d'infanterie coloniale;Vitry-le-François;Marne;22;Legé;Corcoué-sur-Logne;Terrières, Les;Soldat;Nécropole Nationale Vitry le François;1
88;03/05/1889;Limouzinière, La;cultivateur;1909;2763;non;;118 Régiment d'infanterie;Lassaux;;25;Saint-Philbert-de-Grand-Lieu;Saint-Philbert-de-Grand-Lieu;;Soldat;;1
89;24/05/1886;Rezé;cultivateur;1906;499;non;;65 Régiment d'infanterie;Saint Philbert de Grand Lieu;Loire Inférieure;29;Saint-Philbert-de-Grand-Lieu;Saint-Philbert-de-Grand-Lieu;;Soldat;;1
90;07/04/1887;Limouzinière, La;valet de chambre;1907;850;non;;70 Régiment d'infanterie;Ecurie;Pas-de-Calais;28;Saint-Philbert-de-Grand-Lieu;Saint-Philbert-de-Grand-Lieu;;Soldat;;1
91;31/05/1896;Legé;forgeron;1916;2645;non;;111 Régiment d'artillerie lourde;Brieul-le-Sec ;Oise;20;Legé;Legé;;Soldat;Nécropole Nationale Catenoy;1
92;10/04/1893;Legé;cultivateur;1913;1140;oui;1913;2 Régiment de cuirassiers;Pontoise;Seine-et-Oise;25;Legé;Legé;;Soldat;;1
93;23/04/1880;Legé;tourneur-chaisier;1900;1335;non;;65 Régiment d'infanterie;Moulin-sous-Touvent;Oise;34;Legé;Legé;;Soldat;;1
94;08/11/1892;Legé;cultivateur;1912;3177;non;;64 Régiment d'infanterie;Maissin;Belgique;21;Legé;Legé;Chauvière, La;Soldat;Maissin (Belgique);1
95;15/08/1891;Sion-les-Mines;cultivateur;;395;;;19 Bataillon de chasseurs à pied;Mouillont ;Meuse;23;Derval;Sion-les-Mines;;Soldat;;1
96;29/09/1876;Erbray;domestique;1896;714;non;;82 Régiment d'infanterie territoriale;Boiselle, La;;31;Saint-Julien-de-Vouvantes;Erbray;;Soldat;;1
98;12/04/1895;Nantes-Chantenay;frappeur;1915;3767;non;;2 Régiment d'infanterie coloniale;Koebisgsbrà¼ck;Allemagne;20;Nantes;Nantes;;Soldat;Nécropole Nationale Prisonniers de Guerre Sarrebourg;1
99;24/08/1883;Nantes;manœoeuvre;1903;3615;non;;51 Régiment d'artillerie;Nantes;Loire Inférieure;37;Nantes;Nantes;;Soldat;Cimetière de la Bouteillerie - Nantes;1
100;;;cantonnier;;;;;265 Régiment d'infanterie;Cayeux   ;Somme;38;Derval;Saint-Vincent-des-Landes;;Soldat;;0
102;16/08/1883;Nantes;frappeur;1903;554;non;;25 Régiment d'infanterie;Souain;Marne;31;Nantes;Nantes;;Soldat;;1
103;03/05/1896;Nantes;manœoeuvre;1916;3486;non;;155 Régiment d'infanterie;Verdun;Meuse;22;Nantes;Nantes;;Soldat;;1
104;20/10/1881;Schauffausen;instituteur libre;1911;1321;non;;64 Régiment d'infanterie;Quennevières;Oise;33;Clisson;Clisson;;Sergent-Major;Nécropole Nationale Tracy le Mont;1
105;22/07/1875;Gétigné;cultivateur;1895;1721;non;;28 Régiment d'artillerie;Vannes;Morbihan;40;Clisson;Gétigné;;Canonnier Servant ;Carré Militaire Boismoreau - Vannes;1
106;04/04/1887;Nantes;étudiant en pharmacie;1907;205;non;;65 Régiment d'infanterie;Marseille;Bouches-du-Rhône;28;Nantes;Nantes;;Aide-Major Pharmacien;;1
107;13/08/1890;Gétigné;cultivateur;1910;1272;non;;77 Régiment d'infanterie;Prosnes;Marne;24;Clisson;Gétigné;;Caporal;Nécropole Nationale Sept Saulx;1
108;05/12/1884;Issé;laboureur;1904;1246;non;;64 Régiment d'infanterie;Estrées;Somme;31;Moisdon-la-Rivière;Issé;;Caporal;;1
109;20/11/1892;Fresne-sur-Loire, Le;cultivateur;1912;237;non;;135 Régiment d'infanterie;Ober-Tréfenback;Allemagne;25;Varades;Fresne-sur-Loire, Le;;Caporal;Nécropole Nationale Prisonniers de Guerre 1914-1918 - Sarrebourg;1
110;;;;;;;;;;;;;;;Sergent;;0
111;05/03/1894;Levallois-Perret;cultivateur;1914;3062;non;;2 Régiment d'infanterie coloniale;Châlons-sur-Marne ;Marne;21;Blain;Blain;;Sergent;Carré Militaire de l'Est - Chalons en Champagne;1
112;20/08/1877;Boufféré;;;;;;83 Régiment d'infanterie territoriale;Nantes;Loire Inférieure;40;Nantes;Nantes;;Sergent;;0
113;;;;;;;;135 Régiment d'infanterie;Rezé;Loire Inférieure;;Nantes;Nantes;;Sergent;;0
114;25/06/1884;Saint-Colombin;cultivateur ;1904;3379;non;;12 Régiment d'infanterie;Noyelles-les-Vermelles;Pas-de-Calais;30;Saint-Philbert-de-Grand-Lieu;Saint-Colomban;;Soldat;Carré Militaire Sailly Labourse;1
115;14/08/1887;Saint-Colombin;cultivateur;1907;891;non;;65 Régiment d'infanterie;Villers-Cotterêts;Aisne;27;Saint-Philbert-de-Grand-Lieu;Saint-Colomban;;Soldat;;1
116;13/12/1886;Vertou;vigneron;1906;1433;non;;64 Régiment d'infanterie;Villers-Cotterêts;Aisne;27;Vertou;Vertou;;Soldat;;1
117;10/05/1888;Blain;cultivateur;1908;2633;non;;65 Régiment d'infanterie;Sedan;Ardennes;26;Blain;Blain;;Soldat;;1
118;11/04/1896;Gétigné;cultivateur;1916;867;non;;128 Régiment d'infanterie;Ville-sur Cousances;Meuse;21;Clisson;Gétigné;;Soldat;Nécropole Nationale Ville sur Cousances;1
119;31/07/1895;Gétigné;cultivateur;1915;1359;non;;23 Régiment d'infanterie coloniale;Massiges;Marne;20;Clisson;Gétigné;;Soldat;Nécropole Nationale Pont de Marson - Minaucourt Le Mesnil les Hurlus;1
120;03/01/1893;Gétigné;cultivateur;1913;1370;non;;23 Régiment d'infanterie coloniale;Massiges;Marne;22;Clisson;Gétigné;;Soldat;Nécropole Nationale Pont de Marson - Minaucourt Le Mesnil les Hurlus;1
121;11/08/1890;Chevrolière, La;boulanger;1910;1415;non;;14 Régiment d'infanterie;Verdun ;Meuse;24;Saint-Philbert-de-Grand-Lieu;Chevrolière, La;;Soldat;Nécropole Nationale Faubourg Pavé - Verdun;1
122;08/05/1891;Bernardière, La;chiffonnier;1911;;;;93 Régiment d'infanterie;Hameln - Lazarett;Allemagne;26;Aigrefeuille-sur-Maine;Vieillevigne;;Soldat;;0
123;05/09/1890;Nantes;musicien;1910;387;non;;93 Régiment d'infanterie;Fère-Champenoise, La;Marne;23;Nantes;Nantes;;Soldat;;1
124;26/03/1891;Gétigné;jardinier;1911;1323;non;;4 Régiment de marche de zouaves;Acheux;Somme;24;Nantes;Nantes;;Sous-Lieutenant;;1
125;1892;;;;;;;86 Régiment d'infanterie;Poëlcapelle;Belgique;23;Carquefou;Carquefou;;Soldat;;0
126;05/11/1884;Saint-Jean-de-Boiseau;cultivateur;1904;111;non;;411 Régiment d'infanterie;Louvemont;Meuse;32;Pellerin, Le;Saint-Jean-de-Boiseau;;Soldat;;1
127;17/10/1878;Fort-de-France;;;;;;147 Régiment d'infanterie;Saint-Nazaire ;Loire Inférieure;39;;;;Soldat;Carré Militaire Toutes Aides - Saint Nazaire;0
128;14/04/1892;Guylaurens;;;;;;122 Régiment d'infanterie;Saint-Nazaire ;Loire Inférieure;22;;;;Soldat;Carré Militaire Toutes Aides - Saint Nazaire;0
129;14/12/1888;Saint-Nazaire;valet de chambre;1908;3261;non;;2 Groupe d'aviation;Friauville;Meurthe-et-Moselle;29;Saint-Nazaire;Saint-Nazaire;;Soldat;Nécropole Nationale Buzy;1
130;04/01/1897;Grandchamp-des-Fontaines;menuisier;1917;2542;non;;110 Régiment d'artillerie lourde;Bois de Courton;Marne;21;Chapelle-sur-Erdre, La;Grandchamp-des-Fontaines;Le Bourg;Maitre-pointeur;Cimetière Communal Grandchamp des Fontaines, K 419;1
131;09/04/1895;Grandchamp-des-Fontaines;menuisier;1915;743;non;;2 Régiment d'infanterie coloniale;Hôpital Chanzy-Sainte-Menehould;Marne;20;Chapelle-sur-Erdre, La;Grandchamp-des-Fontaines;Le Bourg;Marsouin;Cimetière Communal Grandchamp des Fontaines, K 419;1
132;27/06/1886;Saint-Nazaire;charpentier;1906;3165;non;;6 Régiment du génie;Saint-Nazaire;Loire Inférieure;33;Saint-Nazaire;Saint-Nazaire;;Caporal;;1
133;10/05/1895;Saint-Nazaire;charpentier;1915;3077;non;;5 Régiment d'infanterie coloniale;Poissy;Yvelines;22;Saint-Nazaire;Saint-Nazaire;;Soldat;;1
134;18/07/1882;Jans ;domestique;1902;922;non;;65 Régiment d'infanterie;Amiens;Somme;32;Nozay;Puceul;;Soldat;Nécropole Nationale Saint Acheul - Amiens;1
135;28/04/1890;Saint-Mars-la-Jaille;cordonnier;1910;205;non;;35 Régiment d'artillerie;Compiègne ;Oise;24;Saint-Mars-la-Jaille;Saint-Mars-la-Jaille;;Soldat;Cimetière Communal de Saint Mars la Jaille;1
136;08/06/1885;Varades;cultivateur;1905;107;non;;64 Régiment d'infanterie;Villers-Cotterêts;Aisne;29;Ancenis;Anetz;;Soldat;Nécropole Nationale Villers Cotterets;1
137;31/12/1894;Moisdon-la-Rivière;cultivateur;1914;1142;non;;135 Régiment d'infanterie;Lizerne;Belgique;20;Moisdon-la-Rivière;Issé;;Soldat;;1
138;28/02/1877;Issé;laboureur;1897;525;non;;82 Régiment d'infanterie territoriale;Amiens;Somme;37;Moisdon-la-Rivière;Issé;;Soldat;Nécropole Nationale Saint Pierre - Amiens;1
139;11/12/1880;Issé;cultivateur;1900;987;non;;82 Régiment d'infanterie;Villers-Cotterêts;Aisne;33;Moisdon-la-Rivière;Issé;;Soldat;Nécropole Nationale Villers Cotterets;1
140;14/02/1892;Nantes;employé de commerce;1912;240;non;;407 Régiment d'infanterie;Sainte-Marie-à-Py;Marne;26;Nantes;Nantes;;Soldat;Cimetière de la Miséricorde - Nantes;1
141;08/04/1887;Erbray;carrier;1907;395;;;35 Régiment d'artillerie;Boisselle, La;Somme;28;Saint-Julien-de-Vouvantes;Erbray;;Canonnier;;1
142;10/04/1889;Cordemais;cultivateur;1909;1327;non;;111 Régiment d'artillerie lourde;Guyencourt;Aisne;28;Saint-Etienne-de-Montluc;Cordemais;;Canonnier Conducteur;Nécropole Nationale Pontavert, tombe 1634;1
143;14/09/1888;Saint-Nazaire;manœoeuvre;1908;3178;non;;9 Régiment du génie;Souhesmes-la-Grande;Meuse;30;Saint-Nazaire;Saint-Nazaire;;Caporal;Cimetière Civil Toutes Aides - Saint Nazaire;1
144;13/07/1891;Benodet;cuisinier;1911;2585;oui;1910;3 Dépôt des équipages de la flotte;Lorient ;Morbihan;26;;;;Matelot;;1
145;09/11/1890;Chapelle-Launay, La;charcutier;1914;1062;;;70 Régiment d'infanterie;Neuville-Vitasse;Pas-de-Calais;23;;;;;Nécropole Nationale La Targette - Neuville Saint Vaast;0
146;28/10/1897;Chapelle-Launay, La;cultivateur;1917;2822;non;;247 Régiment d'infanterie;Sagon ;Allemagne;21;Pontchâteau;Pontchâteau;La Prévert;Soldat;Nécropole Nationale Prisonniers de Guerre 1914-1918 - Sarrebourg - Tombe 6923;1
147;04/05/1886;Mouvent;instituteur  ;;;;;118 Régiment d'infanterie;Tahure;Marne;29;Pornic;Pornic;;Soldat;;0
148;31/07/1886;Missillac;cultivateur;1906;2826;non;;65 Régiment d'infanterie;Ferme-de-la-Folie, La;Aisne;30;Pontchâteau;Sainte-Reine-de-Bretagne;;Soldat;;1
149;03/05/1891;Savenay;cultivateur;;;;;64 Régiment d'infanterie;Warloy Baillon;Somme;24;Savenay;Savenay;;Soldat;Nécropole Nationale Warloy Baillon - Beaumont Hamel;0
